intersection_name,direction,SA_num,green_start_time,green_end_time,cycle,cumulative_distance
27교차로,동서,26,30,157,160,316.0
27교차로,동서,26,190,317,160,316.0
27교차로,동서,26,350,477,160,316.0
28교차로,동서,26,44,122,160,614.0
28교차로,동서,26,204,282,160,614.0
28교차로,동서,26,364,442,160,614.0
29교차로,동서,26,-104,23,160,914.0
29교차로,동서,26,56,183,160,914.0
29교차로,동서,26,216,343,160,914.0
29교차로,동서,26,376,503,160,914.0
30교차로,동서,26,69,144,160,1218.0
30교차로,동서,26,229,304,160,1218.0
30교차로,동서,26,389,464,160,1218.0
31교차로,동서,26,-113,14,160,1524.0
31교차로,동서,26,47,174,160,1524.0
31교차로,동서,26,207,334,160,1524.0
31교차로,동서,26,367,494,160,1524.0
32교차로,동서,26,11,115,160,1827.0
32교차로,동서,26,171,275,160,1827.0
32교차로,동서,26,331,435,160,1827.0
33교차로,동서,26,11,138,160,2131.0
33교차로,동서,26,171,298,160,2131.0
33교차로,동서,26,331,458,160,2131.0
34교차로,동서,26,11,138,160,2221.0
34교차로,동서,26,171,298,160,2221.0
34교차로,동서,26,331,458,160,2221.0
35교차로,동서,26,-63,97,160,2436.0
35교차로,동서,26,97,257,160,2436.0
35교차로,동서,26,257,417,160,2436.0
35교차로,동서,26,417,577,160,2436.0
