intersection_name,direction,SA_num,green_start_time,green_end_time,cycle,cumulative_distance,distance_from_prev_meter,speed_limit_kph,offset_sec,green_start_sec,green_duration_sec
1교차로,서동,26,-63,97,160,0.0,0.0,50.0,97,0,160
1교차로,서동,26,97,257,160,0.0,0.0,50.0,97,0,160
1교차로,서동,26,257,417,160,0.0,0.0,50.0,97,0,160
1교차로,서동,26,417,577,160,0.0,0.0,50.0,97,0,160
2교차로,서동,26,11,138,160,215.0,215.0,50.0,11,0,127
2교차로,서동,26,171,298,160,215.0,215.0,50.0,11,0,127
2교차로,서동,26,331,458,160,215.0,215.0,50.0,11,0,127
3교차로,서동,26,11,138,160,305.0,90.0,50.0,11,0,127
3교차로,서동,26,171,298,160,305.0,90.0,50.0,11,0,127
3교차로,서동,26,331,458,160,305.0,90.0,50.0,11,0,127
4교차로,서동,26,11,115,160,609.0,304.0,50.0,11,0,104
4교차로,서동,26,171,275,160,609.0,304.0,50.0,11,0,104
4교차로,서동,26,331,435,160,609.0,304.0,50.0,11,0,104
5교차로,서동,26,-113,14,160,912.0,303.0,50.0,47,0,127
5교차로,서동,26,47,174,160,912.0,303.0,50.0,47,0,127
5교차로,서동,26,207,334,160,912.0,303.0,50.0,47,0,127
5교차로,서동,26,367,494,160,912.0,303.0,50.0,47,0,127
6교차로,서동,26,69,144,160,1218.0,306.0,50.0,69,0,75
6교차로,서동,26,229,304,160,1218.0,306.0,50.0,69,0,75
6교차로,서동,26,389,464,160,1218.0,306.0,50.0,69,0,75
7교차로,서동,26,-104,23,160,1522.0,304.0,50.0,56,0,127
7교차로,서동,26,56,183,160,1522.0,304.0,50.0,56,0,127
7교차로,서동,26,216,343,160,1522.0,304.0,50.0,56,0,127
7교차로,서동,26,376,503,160,1522.0,304.0,50.0,56,0,127
8교차로,서동,26,44,122,160,1822.0,300.0,50.0,44,0,78
8교차로,서동,26,204,282,160,1822.0,300.0,50.0,44,0,78
8교차로,서동,26,364,442,160,1822.0,300.0,50.0,44,0,78
9교차로,서동,26,30,157,160,2120.0,298.0,50.0,30,0,127
9교차로,서동,26,190,317,160,2120.0,298.0,50.0,30,0,127
9교차로,서동,26,350,477,160,2120.0,298.0,50.0,30,0,127
