intersection_name,direction,SA_num,green_start_time,green_end_time,cycle
1교차로,서동,26,-63,97,160
1교차로,서동,26,97,257,160
1교차로,서동,26,257,417,160
1교차로,서동,26,417,577,160
2교차로,서동,26,11,138,160
2교차로,서동,26,171,298,160
2교차로,서동,26,331,458,160
3교차로,서동,26,11,138,160
3교차로,서동,26,171,298,160
3교차로,서동,26,331,458,160
4교차로,서동,26,11,115,160
4교차로,서동,26,171,275,160
4교차로,서동,26,331,435,160
5교차로,서동,26,-113,14,160
5교차로,서동,26,47,174,160
5교차로,서동,26,207,334,160
5교차로,서동,26,367,494,160
6교차로,서동,26,69,144,160
6교차로,서동,26,229,304,160
6교차로,서동,26,389,464,160
7교차로,서동,26,-104,23,160
7교차로,서동,26,56,183,160
7교차로,서동,26,216,343,160
7교차로,서동,26,376,503,160
8교차로,서동,26,44,122,160
8교차로,서동,26,204,282,160
8교차로,서동,26,364,442,160
9교차로,서동,26,30,157,160
9교차로,서동,26,190,317,160
9교차로,서동,26,350,477,160
10교차로,서동,10,109,149,180
10교차로,서동,10,289,329,180
11교차로,서동,10,-54,93,180
11교차로,서동,10,126,273,180
11교차로,서동,10,306,453,180
12교차로,서동,10,-42,57,180
12교차로,서동,10,138,237,180
12교차로,서동,10,318,417,180
13교차로,서동,10,-77,28,180
13교차로,서동,10,103,208,180
13교차로,서동,10,283,388,180
14교차로,서동,88,-23,121,210
14교차로,서동,88,187,331,210
14교차로,서동,88,397,541,210
15교차로,서동,13,162,191,220
15교차로,서동,13,382,411,220
16교차로,서동,13,-48,75,220
16교차로,서동,13,172,295,220
16교차로,서동,13,392,515,220
17교차로,서동,13,36,157,220
17교차로,서동,13,256,377,220
18교차로,서동,9,-112,7,160
18교차로,서동,9,48,167,160
18교차로,서동,9,208,327,160
18교차로,서동,9,368,487,160
19교차로,서동,9,-106,12,160
19교차로,서동,9,54,172,160
19교차로,서동,9,214,332,160
19교차로,서동,9,374,492,160
20교차로,서동,9,-1,70,160
20교차로,서동,9,159,230,160
20교차로,서동,9,319,390,160
21교차로,서동,9,-2,93,160
21교차로,서동,9,158,253,160
21교차로,서동,9,318,413,160
22교차로,서동,9,5,125,160
22교차로,서동,9,165,285,160
22교차로,서동,9,325,445,160
23교차로,서동,9,69,151,160
23교차로,서동,9,229,311,160
23교차로,서동,9,389,471,160
24교차로,서동,9,38,126,160
24교차로,서동,9,198,286,160
24교차로,서동,9,358,446,160
25교차로,서동,9,31,93,160
25교차로,서동,9,191,253,160
25교차로,서동,9,351,413,160
26교차로,서동,9,35,120,160
26교차로,서동,9,195,280,160
26교차로,서동,9,355,440,160
27교차로,서동,9,5,107,160
27교차로,서동,9,165,267,160
27교차로,서동,9,325,427,160
28교차로,서동,9,-65,10,160
28교차로,서동,9,95,170,160
28교차로,서동,9,255,330,160
28교차로,서동,9,415,490,160
29교차로,서동,9,19,138,160
29교차로,서동,9,179,298,160
29교차로,서동,9,339,458,160
30교차로,서동,9,13,130,160
30교차로,서동,9,173,290,160
30교차로,서동,9,333,450,160
31교차로,서동,48,51,84,150
31교차로,서동,48,201,234,150
31교차로,서동,48,351,384,150
32교차로,서동,77,27,97,160
32교차로,서동,77,187,257,160
32교차로,서동,77,347,417,160
33교차로,서동,77,-26,97,160
33교차로,서동,77,134,257,160
33교차로,서동,77,294,417,160
34교차로,서동,77,-19,105,160
34교차로,서동,77,141,265,160
34교차로,서동,77,301,425,160
35교차로,서동,77,19,141,160
35교차로,서동,77,179,301,160
35교차로,서동,77,339,461,160
